Provinces,Web,News,Media,Index,range
北京,5184248,211436,2495,0.122883731,1
上海,2252111,129857,2124,0.083094795,2
四川,1869701,191507,1589,0.082794551,3
安徽,1174961,2671,2622,0.061481575,4
山东,1783620,131867,894,0.055357068,5
江苏,1395688,129082,723,0.049210132,6
新疆,1177022,121455,672,0.045432263,7
河南,1243142,120885,430,0.040583349,8
重庆,1363483,74837,681,0.036849695,9
贵州,775788,118623,312,0.035249189,10
湖南,1287623,53947,637,0.031182225,11
河北,1212444,56678,538,0.02929394,12
内蒙古,677181,2230,1208,0.029229137,13
广东,1745248,4052,836,0.027282537,14
宁夏,643506,1704,1025,0.025114506,15
浙江,1388032,5080,729,0.023428545,16
陕西,945733,41066,452,0.022871506,17
天津,1387728,4700,660,0.021902631,18
辽宁,812628,2629,760,0.020622725,19
西藏,1030992,2172,580,0.017874746,20
云南,1150574,2764,540,0.017772291,21
广西,726337,1775,549,0.015584076,22
江西,947667,3443,475,0.015514555,23
福建,1344738,4065,356,0.015183469,24
山西,990739,3886,357,0.013356017,25
黑龙江,672848,1849,453,0.013315309,26
海南,697393,3319,363,0.011862642,27
吉林,786187,1660,314,0.010944605,28
甘肃,666412,3290,232,0.008954523,29
青海,622375,1940,209,0.007965911,30
湖北,1137011,3620,59,0.007807753,31
